PREÇO|QUARTOS|TAMANHO|CONDOMÍNIO|ESTACIONAMENTO|BAIRRO
R$ 150.000|2 quartos | 65m² | | 4 vagas|Marcos Freire
R$ 1.300.000|4 quartos | 240m² | | 3 vagas|Olaria
R$ 420.000|4 quartos | 200m² | | 2 vagas|Igarapé
R$ 400.000|3 quartos | 105m² | | 3 vagas|Aponiã
R$ 150.000|2 quartos | 56m² |R$ 360 | 1 vaga|Triângulo
R$ 85.000|4 quartos | 138m² |R$ 0 | 3 vagas|Areal
R$ 330.000|3 quartos | 85m² |R$ 614 | 1 vaga|Rio Madeira
R$ 161.000|2 quartos | 52m² |R$ 0 | 1 vaga|Esperança da Comunidade
R$ 560.000|3 quartos | | | 2 vagas|Olaria
R$ 451.000|3 quartos | 75m² |R$ 0 | 2 vagas|Flodoaldo Pontes Pinto
R$ 290|2 quartos | | | 1 vaga|Nova Porto Velho
R$ 420.000|3 quartos | 210m² |R$ 0 | 2 vagas|Nova Floresta
R$ 0|2 quartos | 100m² | | 2 vagas|Socialista
R$ 1.250.000|4 quartos | 490m² |R$ 790 | 4 vagas|Nova Porto Velho
R$ 990.000|3 quartos | 231m² |R$ 0 | 4 vagas|Aeroclube
R$ 620.000|2 quartos | 300m² |R$ 0| |Nova Porto Velho
R$ 150.000|3 quartos | 60m² |R$ 150 | 2 vagas|Bairro Novo
R$ 365.000|2 quartos | 69m² |R$ 339 | 1 vaga|Rio Madeira
R$ 390.000|3 quartos | 300m² |R$ 0 | 4 vagas|Flodoaldo Pontes Pinto
R$ 650.000|3 quartos | 110m² |R$ 980 | 2 vagas|Olaria
R$ 890.000|3 quartos | 162m² |R$ 0 | 4 vagas|Aponiã
R$ 230.000|4 quartos | 180m² |R$ 0 | 2 vagas|Cuniã
R$ 199.990|3 quartos | 80m² |R$ 0 | 1 vaga|Rio Madeira
R$ 750.000|3 quartos | 600m² |R$ 0 | 5 ou mais vagas|Escola de Polícia
R$ 180.000|2 quartos | 90m² |R$ 0 | 2 vagas|Três Marias
R$ 150.000|3 quartos | 80m² | | 2 vagas|Lagoinha
R$ 470.000|3 quartos | 120m² |R$ 0 | 2 vagas|Nova Floresta
R$ 110.000|2 quartos | 10m² | | 1 vaga|Bairro Novo
R$ 400.000|3 quartos | 143m² |R$ 400 | 2 vagas|Lagoa
R$ 470.000|3 quartos | 120m² | | 2 vagas|Nova Floresta
R$ 350.000|3 quartos | 75m² |R$ 440 | 1 vaga|Industrial
R$ 890.000|3 quartos | 162m² | | 4 vagas|Rio Madeira
R$ 750.000|2 quartos | 230m² | | 5 ou mais vagas|Cohab
R$ 300.000|3 quartos | 74m² |R$ 400 | 1 vaga|Cuniã
R$ 195.000|2 quartos | 70m² | | 3 vagas|Tancredo Neves
R$ 680.000|4 quartos | 340m² |R$ 0 | 3 vagas|Liberdade
R$ 890.000|3 quartos | 162m² |R$ 0 | 4 vagas|Rio Madeira
R$ 350.000|3 quartos | 75m² |R$ 440 | 1 vaga|Industrial
R$ 890.000|3 quartos | 158m² |R$ 344 | 4 vagas|Rio Madeira
R$ 750.000|2 quartos | 230m² |R$ 0 | 5 ou mais vagas|Cohab
R$ 560.000|3 quartos | 120m² |R$ 350 | 2 vagas|Pedrinhas
R$ 660.000|3 quartos | 110m² |R$ 800 | 2 vagas|Olaria
R$ 280.000|2 quartos | 58m² |R$ 386 | 1 vaga|Industrial
R$ 25.000|2 quartos | | | 1 vaga|Aeroclube
R$ 60.000|1 quarto| | | |Mariana
R$ 300.000|4 quartos | 250m² |R$ 0 | 2 vagas|Três Marias
R$ 260.000|2 quartos | 53m² | | 1 vaga|Igarapé
R$ 68.000|2 quartos | 42m² |R$ 0| |Bairro Novo
R$ 580.000|3 quartos | 120m² |R$ 0 | 2 vagas|Pedrinhas
R$ 250.000|3 quartos| | | |Aponiã
R$ 1.290.000|3 quartos | 408m² |R$ 400 | 2 vagas|Aeroclube
R$ 1.850.000|4 quartos | | | 4 vagas|Aponiã
R$ 200.000|2 quartos | 75m² |R$ 0 | 1 vaga|Cohab
R$ 280.000|2 quartos | 94m² |R$ 0 | 2 vagas|Igarapé
R$ 50.000|2 quartos | 200m² | | 2 vagas|Agenor de Carvalho
R$ 280.000|3 quartos | 102m² |R$ 650 | 2 vagas|Rio Madeira
R$ 280.000|2 quartos | 360m² |R$ 0 | 2 vagas|Eldorado
R$ 1.287.000|4 quartos | 306m² |R$ 0 | 4 vagas|Lagoa
R$ 595.000|5 ou mais quartos | 442m² | | 4 vagas|Cuniã
R$ 110.000|3 quartos | 250m² |R$ 0| |Castanheira
R$ 1.600.000|4 quartos | 450m² |R$ 0 | 2 vagas|Nova Esperança
R$ 250.000|3 quartos | 60m² |R$ 614 | 1 vaga|Agenor de Carvalho
R$ 100.000|2 quartos | 70m² |R$ 0 | 5 ou mais vagas|Cohab
R$ 350.000|3 quartos | | | 2 vagas|Escola de Polícia
R$ 140.000|2 quartos | 55m² |R$ 0 | 1 vaga|Triângulo
R$ 40.000|2 quartos | 25m² |R$ 0 | 5 ou mais vagas|Jardim Santana
R$ 220.000|2 quartos | 140m² |R$ 0 | 1 vaga|Nova Floresta
R$ 320.000|3 quartos | 80m² |R$ 0 | 1 vaga|Nova Esperança
R$ 400.000|3 quartos | 76m² |R$ 0 | 2 vagas|Rio Madeira
R$ 55.000|3 quartos| | | |Novo Horizonte
R$ 780.000|3 quartos | 280m² |R$ 300 | 2 vagas|Flodoaldo Pontes Pinto
R$ 240.000|3 quartos | 210m² |R$ 0| |Castanheira
R$ 790.000|4 quartos | 172m² |R$ 0 | 4 vagas|Aeroclube
R$ 85.000|2 quartos | 81m² | | 1 vaga|Castanheira
R$ 64.999|2 quartos | 50m² | | 1 vaga|Novo Horizonte
R$ 230.000|3 quartos | 100m² |R$ 0 | 3 vagas|Castanheira
R$ 320.000|3 quartos | 110m² | | 2 vagas|Rio Madeira
R$ 1.500.000|5 ou mais quartos | 400m² |R$ 0 | 5 ou mais vagas|Lagoa
R$ 172.000|2 quartos | 51m² |R$ 0 | 2 vagas|Planalto
R$ 260.000|3 quartos | 74m² |R$ 400 | 1 vaga|Cuniã
R$ 58.000|2 quartos | 47m² |R$ 0 | 1 vaga|Caladinho
R$ 110.000|2 quartos | 60m² | | 2 vagas|Castanheira
R$ 250.000|2 quartos | 100m² | | 3 vagas|Tancredo Neves
R$ 585.000|3 quartos | 180m² |R$ 0 | 5 ou mais vagas|Embratel
R$ 350.000|3 quartos | 160m² |R$ 100 | 2 vagas|Escola de Polícia
R$ 350.000|3 quartos | 91m² |R$ 0 | 2 vagas|Triângulo
R$ 90.000|1 quarto | 432m² |R$ 0| |Floresta
R$ 15.000|2 quartos | | | 1 vaga|Jardim Santana
R$ 150.000|2 quartos| | | |Embratel
R$ 660.000|3 quartos | 110m² |R$ 0 | 2 vagas|Olaria
R$ 550.000|4 quartos | 350m² |R$ 0 | 3 vagas|Agenor de Carvalho
R$ 330.000|3 quartos | 250m² |R$ 0 | 3 vagas|Conceição
R$ 750.000|3 quartos | 360m² | | 4 vagas|Embratel
R$ 1.250.000|3 quartos | 250m² |R$ 1.000 | 4 vagas|Lagoa
R$ 330.000|3 quartos| | | |Tiradentes
R$ 580.000|4 quartos | 260m² | | 2 vagas|Liberdade
R$ 750.000|2 quartos | 96m² |R$ 800 | 2 vagas|Liberdade
R$ 80.000|1 quarto| | | |Eletronorte
R$ 350.000|3 quartos | 0m² | | 5 ou mais vagas|Igarapé
R$ 350.000|3 quartos | 75m² |R$ 0 | 2 vagas|Rio Madeira
R$ 323.000|2 quartos | 160m² |R$ 70 | 2 vagas|Novo Horizonte
R$ 285.000|1 quarto | |R$ 0 | 5 ou mais vagas|Nova Porto Velho
R$ 180.000|2 quartos | 320m² | | 2 vagas|Caladinho
R$ 1.200.000|3 quartos | 230m² |R$ 0 | 4 vagas|Cidade Jardim
R$ 130.000|2 quartos | 90m² |R$ 0 | 1 vaga|Três Marias
R$ 135.000|2 quartos | 47m² |R$ 285 | 1 vaga|Rio Madeira
R$ 325.000|2 quartos | 68m² |R$ 230 | 1 vaga|Nova Esperança
R$ 170.000|2 quartos | 52m² |R$ 330 | 1 vaga|Triângulo
R$ 380.000|3 quartos | 400m² | | 5 ou mais vagas|Nossa Senhora das Graças
R$ 60|2 quartos | 0m² | | 1 vaga|Marcos Freire
R$ 330.000|3 quartos | 84m² |R$ 614 | 1 vaga|Rio Madeira
R$ 2.200.000|4 quartos | 443m² | | 2 vagas|Cuniã
R$ 150.000|2 quartos | 250m² |R$ 0 | 1 vaga|Três Marias
R$ 110.000|2 quartos | 270m² |R$ 0 | 2 vagas|Nova Floresta
R$ 320.000|2 quartos | 52m² |R$ 400 | 2 vagas|Industrial
R$ 380.000|2 quartos | 300m² |R$ 0 | 2 vagas|Aponiã
R$ 890.000|3 quartos | 158m² |R$ 344 | 4 vagas|Aponiã
R$ 90.000|3 quartos | 2000m² |R$ 11.111| |Igarapé
R$ 1.900.000|4 quartos | 250m² |R$ 0 | 4 vagas|Olaria
R$ 710.000|3 quartos | 151m² | | 2 vagas|Nova Porto Velho
R$ 1.200.000|3 quartos | 206m² |R$ 400 | 4 vagas|Aeroclube
R$ 350.000|3 quartos | 78m² |R$ 0 | 1 vaga|Rio Madeira
R$ 68.000|2 quartos | 250m² | | 2 vagas|Castanheira
R$ 880.000|3 quartos | 109m² | | 2 vagas|Olaria
R$ 297.000|3 quartos | 72m² | | 1 vaga|Agenor de Carvalho
R$ 180.000|3 quartos | 60m² |R$ 175 | 2 vagas|Bairro Novo
R$ 470.000|3 quartos | 83m² |R$ 0 | 2 vagas|Lagoa
R$ 180.000|2 quartos | 260m² |R$ 0| |Cohab
R$ 170.000|3 quartos | | | 2 vagas|Aponiã
R$ 350.000|3 quartos | 84m² |R$ 600 | 1 vaga|Rio Madeira
R$ 275.000|2 quartos | 69m² | | 2 vagas|Aponiã
R$ 565.000|3 quartos | 84m² |R$ 450 | 2 vagas|Lagoa
R$ 180.000|2 quartos | 70m² |R$ 70 | 2 vagas|Bairro Novo
R$ 80.000|2 quartos | 0m² |R$ 0 | 2 vagas|Bairro Novo
R$ 800.000|3 quartos | 173m² |R$ 0 | 2 vagas|Pedrinhas
R$ 43.000|2 quartos | 40m² | | 3 vagas|Panair
R$ 730.000|4 quartos | 355m² |R$ 0 | 3 vagas|Pedrinhas
R$ 650|1 quarto | 5m² |R$ 5 | 4 vagas|Flodoaldo Pontes Pinto
R$ 1.750.000|4 quartos | 280m² |R$ 0 | 3 vagas|Centro
R$ 360.000|2 quartos | 93m² |R$ 480 | 2 vagas|Rio Madeira
R$ 80.000|2 quartos | | | 1 vaga|Cohab
R$ 240|2 quartos | 146m² |R$ 162 | 2 vagas|Rio Madeira
R$ 80.000|1 quarto | 300m² |R$ 0 | 5 ou mais vagas|Cascalheira
R$ 310.000|3 quartos | 110m² | | 2 vagas|Cuniã
R$ 210.000|3 quartos | 230m² | | 3 vagas|Rio Madeira
R$ 150|2 quartos | 300m²| | |Eldorado
R$ 780.000|1 quarto | 195m² |R$ 0 | 3 vagas|Flodoaldo Pontes Pinto
R$ 70.000|2 quartos | 100m² |R$ 0 | 3 vagas|Bairro Novo
R$ 350.000|2 quartos | 88m² | | 1 vaga|Aponiã
R$ 0|3 quartos | 297m² | | 3 vagas|Arigolândia
R$ 285.000|3 quartos | 120m² |R$ 0 | 2 vagas|Castanheira
R$ 160.000|2 quartos | 46m² |R$ 150 | 1 vaga|Aeroclube
R$ 370.000|2 quartos | 90m² | | 3 vagas|Aeroclube
R$ 550.000|5 ou mais quartos | 300m² |R$ 0 | 2 vagas|Rio Madeira
R$ 280.000|3 quartos | | | 3 vagas|Rio Madeira
R$ 330.000|3 quartos | 82m² |R$ 580 | 1 vaga|Rio Madeira
R$ 260.000|3 quartos | 140m² | | 2 vagas|Rio Madeira
R$ 325.000|2 quartos | 74m² |R$ 375 | 2 vagas|Triângulo
R$ 459.000|3 quartos | 216m² |R$ 0 | 2 vagas|Cuniã
R$ 320.000|3 quartos | 73m² |R$ 0 | 2 vagas|Nova Esperança
R$ 1.600.000|3 quartos | 380m² | | 5 ou mais vagas|Rio Madeira
R$ 49.999|2 quartos | 42m² |R$ 160 | 1 vaga|Bairro Novo
R$ 295.000|4 quartos | 250m² |R$ 0 | 2 vagas|Aponiã
R$ 900.000|4 quartos | 430m² |R$ 900 | 2 vagas|Panair
R$ 235.000|2 quartos | 80m² | | 1 vaga|Flodoaldo Pontes Pinto
R$ 344.678|3 quartos | 80m² | | 2 vagas|Rio Madeira
R$ 1.550.000|3 quartos | 251m² |R$ 800 | 4 vagas|Aponiã
R$ 1.190.000|4 quartos | 293m² |R$ 390 | 4 vagas|Aeroclube
R$ 175.000|2 quartos | | | 1 vaga|Aponiã
R$ 580.000|3 quartos | 96m² |R$ 0 | 2 vagas|São João Bosco
R$ 230.000|2 quartos | 66m² |R$ 0 | 1 vaga|Industrial
R$ 290.000|3 quartos | 72m² |R$ 450 | 1 vaga|Agenor de Carvalho
R$ 550.000|3 quartos | | | 2 vagas|Rio Madeira
R$ 260.000|2 quartos | 80m² |R$ 0 | 2 vagas|Esperança da Comunidade
R$ 45.000|2 quartos | 60m² |R$ 0 | 2 vagas|Panair
R$ 30.000|2 quartos | 50m²| | |Esperança da Comunidade
R$ 300.000|3 quartos | 85m² |R$ 560 | 1 vaga|Rio Madeira
R$ 280.000|2 quartos | 74m² |R$ 0| |Rio Madeira
R$ 280.000|2 quartos | 250m² |R$ 0| |Aponiã
R$ 450.000|2 quartos | 320m² |R$ 0| |Agenor de Carvalho
R$ 170.000|2 quartos | 148m² |R$ 0| |Lagoinha
R$ 325.000|3 quartos | 74m² |R$ 375 | 2 vagas|Triângulo
R$ 45.000|3 quartos | 12m²| | |Três Marias
R$ 80.000|1 quarto | 888888m² |R$ 0 | 2 vagas|Ulisses Guimarães
R$ 172.000|2 quartos | 51m² |R$ 0 | 2 vagas|Planalto
R$ 243.495|2 quartos | 66m² |R$ 0 | 2 vagas|Lagoa
R$ 220.000|2 quartos | 360m² | | 2 vagas|Nova Esperança
R$ 880.000|3 quartos | 108m² |R$ 0 | 2 vagas|Olaria
R$ 45.000|2 quartos | |R$ 130 | 3 vagas|Cohab
